Site,Original,DOM,window,% DOM,% Window
163,310,63,0,100%,0%
1and1,87,51,23,69%,31%
4chan,14,0,2,0%,100%
4dsply,14,28,2,93%,7%
6pm,46,0,3,0%,100%
aa,185,17,30,36%,64%
abcnews,104,54,45,55%,45%
adam4adam,32,6,0,100%,0%
adcash,64,2,4,33%,67%
addthis,58,8,10,44%,56%
adf,101,23,19,55%,45%
adnxs,10,14,4,78%,22%
adp,89,107,15,88%,12%
adultfriendfinder,63,72,0,100%,0%
alibaba,22,0,1,0%,100%
ancestry,70,11,211,5%,95%
ap,73,36,0,100%,0%
archive,46,0,2,0%,100%
attnet,1,20,0,100%,0%
audible,107,0,4,0%,100%
authorize,56,8,4,67%,33%
autotrader,71,27,8,77%,23%
azlyrics,259,2,24,8%,92%
babycenter,49,0,0,,
babylon,36,39,1,98%,3%
backpage,8,6,2,75%,25%
bankrate,121,26,7,79%,21%
barnesandnoble,140,2,19,10%,90%
basecamp,22,34,0,100%,0%
bbb,43,33,5,87%,13%
bbcus,32,15,6,71%,29%
bbt,47,4,19,17%,83%
bedbathandbeyond,138,2,22,8%,92%
beeg,36,29,7,81%,19%
bhphotovideo,17,7,0,100%,0%
biblegateway,0,0,0,,
bizrate,65,0,41,0%,100%
blackhatworld,56,15,11,58%,42%
bloglovin,28,2,2,50%,50%
bloomberg,78,0,1,0%,100%
bodybuilding,151,8,13,38%,62%
booking,61,2,7,22%,78%
box,73,39,4,91%,9%
businessweek,82,0,1,0%,100%
cabelas,141,14,0,100%,0%
cafemom,105,44,23,66%,34%
cafepress,103,2,15,12%,88%
capitalone360,50,6,14,30%,70%
cbs,169,14,102,12%,88%
cbslocal,213,47,10,82%,18%
cbsnews,203,31,7,82%,18%
centurylink,170,10,4,71%,29%
chacha,235,2,10,17%,83%
charter,163,16,1,94%,6%
city-data,38,0,2,0%,100%
cj,108,2,55,4%,96%
clkmon,10,15,1,94%,6%
cloudfront,57,0,9,0%,100%
cnet,79,30,2,94%,6%
codecanyon,0,0,0,,
constantcontact,122,29,243,11%,89%
costco,93,23,4,85%,15%
cox,186,6,20,23%,77%
crunchbase,98,2,5,29%,71%
cvs,69,18,8,69%,31%
deadspin,117,18,5,78%,22%
digg,38,35,14,71%,29%
directrev,28,2,2,50%,50%
distractify,0,0,0,,
dmv,62,2,4,33%,67%
domaintools,31,8,4,67%,33%
earthlink,75,20,12,63%,38%
ebates,78,17,24,41%,59%
ed,100,2,5,29%,71%
elance,31,20,3,87%,13%
empowernetwork,59,20,3,87%,13%
engadget,132,5,10,33%,67%
entrepreneur,74,21,10,68%,32%
evernote,31,2,8,20%,80%
evite,56,2,22,8%,92%
ew,251,17,55,24%,76%
exoclick,57,2,2,50%,50%
fatwallet,94,47,25,65%,35%
food,94,2,6,25%,75%
fool,128,2,10,17%,83%
foxsports,89,51,2,96%,4%
gamefaqs,247,8,15,35%,65%
gameninja,134,8,15,35%,65%
gamespot,121,17,22,44%,56%
gamestop,191,44,0,100%,0%
gap,63,2,8,20%,80%
getresponse,106,2,12,14%,86%
gfycat,64,2,3,40%,60%
gizmodo,0,0,0,,
glassdoor,119,10,0,100%,0%
go,51,2,0,100%,0%
goodreads,106,8,5,62%,38%
google,14,2,0,100%,0%
gotomeeting,96,12,13,48%,52%
healthcare,22,11,14,44%,56%
hollywoodreporter,120,2,16,11%,89%
hostgator,112,26,10,72%,28%
hotels,80,5,46,10%,90%
hp,34,0,0,,
hubspot,150,24,21,53%,47%
ign,107,0,5,0%,100%
ijreview,64,2,6,25%,75%
indiatimes,58,26,8,76%,24%
infowars,213,65,31,68%,32%
infusionsoft,216,9,144,6%,94%
intuit,41,0,14,0%,100%
istockphoto,57,62,0,100%,0%
