twitter.com	GET	200	text/html	Other	39.0 KB	328 ms	
twitter_core.bundle.css	GET	304	text/css	twitter.com/:40	402 B	28 ms	
mk85o7beh9wtdewktz6w_normal.jpeg	GET	304	image/jpeg	twitter.com/:705	402 B	42 ms	
mk85o7beh9wtdewktz6w_bigger.jpeg	GET	304	image/jpeg	twitter.com/:816	401 B	44 ms	
8z9FImcv_bigger.png	GET	304	image/png	twitter.com/:1254	403 B	43 ms	
q7o83VPn_bigger.jpeg	GET	304	image/jpeg	twitter.com/:1515	403 B	41 ms	
wIPwMwru_bigger.png	GET	304	image/png	twitter.com/:1835	403 B	43 ms	
LnvhR8ED_bigger.png	GET	304	image/png	twitter.com/:2077	403 B	44 ms	
50d7e05aa6fe5d477e48a63047e38ce7_normal.png	GET	304	image/png	twitter.com/:2114	403 B	14 ms	
dannyshaw_bigger.jpg	GET	304	image/jpeg	twitter.com/:2403	402 B	17 ms	
0e3eda1708ad887f3a6eb2c2de41413f_bigger.png	GET	304	image/png	twitter.com/:2656	401 B	19 ms	
9xrYF3Hg_bigger.png	GET	304	image/png	twitter.com/:3151	401 B	20 ms	
6fbee1892f0f3819a23c24461dc8fea5_bigger.jpeg	GET	304	image/jpeg	twitter.com/:3663	401 B	18 ms	
B23a6uNIQAEOH1P.jpg	GET	304	image/jpeg	twitter.com/:5588	417 B	20 ms	
B23a6udIAAA_0bh.jpg	GET	304	image/jpeg	twitter.com/:5591	416 B	11 ms	
B23a6ubIAAAFMki.jpg	GET	304	image/jpeg	twitter.com/:5594	417 B	15 ms	
d0aux-Su_bigger.png	GET	304	image/png	twitter.com/:6126	402 B	15 ms	
KAf_Wq6L_bigger.jpeg	GET	304	image/jpeg	twitter.com/:6702	402 B	16 ms	
LnvhR8ED_normal.png	GET	304	image/png	twitter.com/:6739	403 B	16 ms	
bg.png	GET	304	image/png	twitter.com/:8326	379 B	12 ms	
rosetta-icons-Regular.woff	GET	304	application/font-woff	twitter.com/:8326	379 B	28 ms	
twitter_web_sprite_icons.png	GET	304	image/png	twitter.com/:8326	379 B	16 ms	
spinner-rosetta-gray-32x32.gif	GET	304	image/gif	twitter.com/:8326	379 B	8 ms	
init.8d0945b7229b57c8fd464d8158065e1df4d15005.js	GET	304	application/javascript	twitter.com/:9657	402 B	64 ms	
timeline.1109f25971416ea733d35071fb9e4540c3e0b552.js	GET	304	application/javascript	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:434	402 B	80 ms	
boot.9f408442c8b9ff61dc1182fc6e34ea0b1ca10315.js	GET	304	application/javascript	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:434	402 B	97 ms	
twitter_more_1.bundle.css	GET	304	text/css	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:455	402 B	12 ms	
twitter_more_2.bundle.css	GET	304	text/css	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:455	401 B	11 ms	
trends?k=3374173321&pc=true&show_context=true&src=module	GET	200	text/javascript	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:353	1.2 KB	173 ms	
analytics.js	GET	304	text/javascript	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:663	42 B	11 ms	
recommendations?connections=true&disabled=false&dismissable=true&display_location=wtf-component&excluded=&initialResults=true&last_note_ts=8&limit=3&oldest_unread_id=0&pc=true&scribeContext%5Bcomponent%5D=user_recommendations	GET	200	text/javascript	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:353	1.5 KB	339 ms	
B13L8vsCUAEjPp7.jpg	GET	304	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	401 B	22 ms	
proxy.jpg?t=HBiKAWh0dHBzOi8vdi5jZG4udmluZS5jby9yL3RodW1icy9CNzhDRDY5QjQ3MTE0NzIwNjgyNjkwODM3Mjk5Ml8zLjAuMS4xNjk1NjI4NDQwODg2ODc4NDYyOC5tcDQuanBnP3ZlcnNpb25JZD14ZFNEbUREVzJVRDNTcFhzeGZXbklSOEZnWUsyanlZaRTABxTABwAWABIA&s=de_QlGC4VtSDEV3NNo1tBSpTizNwOY1CSJwWC9NfBr4	GET	304
image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	378 B	34 ms	
B24qmnLCIAEBP8D.jpg	GET	304	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	415 B	23 ms	
B24jpuFCIAEn8Fr.jpg	GET	304	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	415 B	23 ms	
B24gIOuCAAAc39o.jpg	GET	304	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	417 B	22 ms	
proxy.jpg?t=HBh3aHR0cDovL21lZGlhLnNuYXBweXR2LmNvbS9pbWFnZS9sZDM2MHAvMTYxcDE2MS8yMDE0LTExLTIwVDExLTA0LTI2Ljg2N1otLTY0MHgzNjAuanBnP2g9NjI1MzA3OWY4MWIyMWRkY2U1YzBiYjI4MjY2MzQ4YzUUwAcUnAQAFgASAA&s=kPRSSxgYDUrOoyXDs-vm94nAKIaqRWGeQM5oQMvBhyw	GET	304	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:696	379 B	37 ms	
log.json?event=i&promoted_trend_id=21983	GET	200	application/json	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:353	214 B	96 ms	
collect?v=1&_v=j31&a=1586700778&t=pageview&_s=1&dl=https%3A%2F%2Ftwitter.com%2F&dp=%2Fuser%2Fhome%2Fhome&ul=en-us&de=UTF-8&dt=Twitter&sd=24-bit&sr=1440x900&vp=1025x150&je=1&fl=15.0%20r0&_u=MCCAgIQ~&jid=&cid=939735012.1402201838&tid=UA-30775-6&z=1706285243	GET	200	image/gif	Other	73 B	9 ms	
-rZ3Gayg_normal.png	GET	200	image/png	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:283	3.7 KB	50 ms	
c069c0bad76f29471363ae4d7fc308d1_normal.jpeg	GET	200	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:283	1.6 KB	165 ms	
3201f0066dedcaf5f3ad53751b699f69_normal.jpeg	GET	200	image/jpeg	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:283	1.6 KB	71 ms	
log.json?event=impression&impression_id=66b57f73908bf06f	GET	200	application/json	init.8d0945b7229b57c8fd464d8158065e1df4d15005.js:353	110 B	132 ms	

