Virupaksha_Temple	GET	200	text/html	Other	22.8 KB	43 ms	
load.php?debug=false&lang=en&modules=site&only=styles&skin=vector&*	GET	200	text/css	Virupaksha_Temple:20	(from cache)	0 ms	
load.php?debug=false&lang=en&modules=ext.gadget.DRN-wizard%2CReferenceTooltips%2Ccharinsert%2Cfeatured-articles-links%2CrefToolbar%2Cteahouse%7Cext.rtlcite%2Cwikihiero%2CwikimediaBadges%7Cext.uls.nojs%7Cext.visualEditor.viewPageTarget.noscript%7Cmediawiki.legacy.commonPrint%2Cshared%7Cmediawiki.skinning.interface%7Cmediawiki.ui.button%7Cskins.vector.styles%7Cwikibase.client.init&only=styles&skin=vector&*	GET	200	text/css	Virupaksha_Temple:18	19.3 KB	40 ms	
load.php?debug=false&lang=en&modules=startup&only=scripts&skin=vector&*	GET	200	text/javascript	Virupaksha_Temple:23	(from cache)	0 ms	
wikimedia-button.png	GET	200	image/png	Virupaksha_Temple:23	(from cache)	0 ms	
poweredby_mediawiki_88x31.png	GET	200	image/png	Virupaksha_Temple:572	(from cache)	0 ms	
240px-India_Karnataka_location_map.svg.png	GET	200	image/png	Virupaksha_Temple:70	33.9 KB	104 ms	
8px-Gold_temple_icon.png	GET	200	image/png	Virupaksha_Temple:72	1.5 KB	62 ms	
100px-Om.svg.png	GET	200	image/png	Virupaksha_Temple:139	4.8 KB	106 ms	
16px-Om.svg.png	GET	200	image/png	Virupaksha_Temple:772	1.2 KB	102 ms	
76px-Hampi1.jpg	GET	200	image/jpeg	Virupaksha_Temple:821	3.8 KB	104 ms	
load.php?debug=false&lang=en&modules=jquery%2Cmediawiki&only=scripts&skin=vector&version=20141119T212102Z	GET	200	text/javascript	load.php?debug=false&lang=en&modules=startup&only=scripts&skin=vector&*:104	(from cache)	0 ms	
240px-Hampi_virupaksha_temple.jpg	GET	200	image/jpeg	Virupaksha_Temple:60	10.4 KB	82 ms	
120px-1_Virupaksha_temple_Gopuram_Hampi_Vijayanagar_India.jpg	GET	200	image/jpeg	Virupaksha_Temple:831	8.8 KB	119 ms	
120px-Virupaksha_Temple_from_the_top.JPG	GET	200	image/jpeg	Virupaksha_Temple:841	3.4 KB	79 ms	
80px-Termple_elephant_of_Virupaksha_temple.JPG	GET	200	image/jpeg	Virupaksha_Temple:851	3.5 KB	78 ms	
120px-Nandi_at_Virupaksha_Temple%2C_Pattadakal%2C_Karnataka.jpg	GET	200	image/jpeg	Virupaksha_Temple:861	5.5 KB	77 ms	
80px-4_Erotic_statues_of_Hindu_Virupaksha_Shiva_Temple_Hampi%2C_Vijayanagar_Karnataka_India.jpg	GET	200	image/jpeg	Virupaksha_Temple:871	8.4 KB	98 ms	
30px-Commons-logo.svg.png	GET	200	image/png	Virupaksha_Temple:894	2.2 KB	97 ms	
16px-Wikivoyage-Logo-v3-icon.svg.png	GET	200	image/png	Virupaksha_Temple:899	1.1 KB	32 ms	
data:image/png;base…	GET	(data)	image/png	load.php?debug=false&lang=en&modules=jquery%2Cmediawiki&only=scripts&skin=vector&version=20141119T2…:51	(from cache)	0 ms	
